State,Year,Democratic Vote,Republican Vote
GA,1984,39.79,60.17
GA,1988,39.5,59.75
GA,1992,43.47,42.88
GA,1996,45.84,47.01
GA,2000,42.98,54.67
GA,2004,41.37,57.97
GA,2008,46.99,52.2
GA,2012,45.5,53.3
GA,2016,45.64,50.77
GA,2020,49.47,49.24
HI,1972,37.52,62.48
HI,1976,50.59,48.06
HI,1980,44.8,42.9
HI,1984,43.82,55.1
HI,1988,54.27,44.75
HI,1992,48.09,36.7
HI,1996,56.93,31.64
HI,2000,55.79,37.46
HI,2004,54.01,45.26
HI,2008,71.85,26.58
HI,2012,70.6,27.8
HI,2016,62.22,30.03
HI,2020,63.73,34.27
IA,1972,40.48,57.61
IA,1976,48.46,49.47
IA,1980,38.6,51.31
IA,1984,45.89,53.27
IA,1988,54.71,44.5
IA,1992,43.29,37.27
IA,1996,50.26,39.92
IA,2000,48.54,48.22
IA,2004,49.23,49.9
IA,2008,53.93,44.39
IA,2012,52.0,46.2
IA,2016,41.74,51.15
IA,2020,44.89,53.09
ID,1972,26.04,64.24
ID,1976,37.12,59.88
ID,1980,25.19,66.46
ID,1984,26.39,72.36
ID,1988,36.01,62.08
ID,1992,28.42,42.03
ID,1996,33.65,52.18
ID,2000,27.64,67.17
ID,2004,30.26,68.38
ID,2008,36.09,61.52
ID,2012,32.6,64.5
ID,2016,27.49,59.26
ID,2020,33.07,63.84
IL,1972,40.51,59.03
IL,1976,48.13,50.1
IL,1980,41.72,49.65
IL,1984,43.3,56.17
IL,1988,48.6,50.69
IL,1992,48.58,34.34
IL,1996,54.32,36.81
IL,2000,54.6,42.58
IL,2004,54.82,44.48
IL,2008,61.92,36.78
IL,2012,57.6,40.7
IL,2016,55.83,38.76
IL,2020,57.54,40.55
IN,1972,33.34,66.11
IN,1976,45.7,53.32
IN,1980,37.65,56.01
IN,1984,37.68,61.67
IN,1988,39.69,59.84
IN,1992,36.79,42.91
IN,1996,41.55,47.13
IN,2000,41.01,56.65
IN,2004,39.26,59.94
IN,2008,49.95,48.91
IN,2012,43.9,54.1
IN,2016,37.91,56.82
IN,2020,40.96,57.02
KS,1972,29.5,67.66
KS,1976,44.94,52.49
KS,1980,33.29,57.85
KS,1984,32.6,66.27
KS,1988,42.56,55.79
KS,1992,33.74,38.88
KS,1996,36.08,54.29
KS,2000,37.24,58.04
KS,2004,36.62,62.0
KS,2008,41.65,56.61
KS,2012,38.0,59.7
KS,2016,36.05,56.65
KS,2020,41.56,56.21
KY,1972,34.77,63.37
KY,1976,52.75,45.57
KY,1980,47.61,49.07
KY,1984,39.37,60.04
KY,1988,43.88,55.52
KY,1992,44.55,41.34
KY,1996,45.84,44.88
KY,2000,41.37,56.5
KY,2004,39.69,59.55
KY,2008,41.17,57.4
KY,2012,37.8,60.5
KY,2016,32.68,62.52
KY,2020,36.15,62.09
LA,1972,28.35,65.32
LA,1976,51.73,45.95
LA,1980,45.75,51.2
LA,1984,38.18,60.77
LA,1988,44.06,54.27
LA,1992,45.58,40.97
LA,1996,52.01,39.94
LA,2000,44.88,52.55
LA,2004,42.22,56.72
LA,2008,39.93,58.56
LA,2012,40.6,57.8
LA,2016,38.45,58.09
LA,2020,39.85,58.46
MA,1972,54.2,45.23
MA,1976,56.11,40.44
MA,1980,41.75,41.9
MA,1984,48.43,51.22
MA,1988,53.23,45.38
MA,1992,47.54,29.03
MA,1996,61.47,28.09
MA,2000,59.8,32.5
MA,2004,61.94,36.78
MA,2008,61.8,35.99
MA,2012,60.7,37.5
MA,2016,60.01,32.81
MA,2020,65.6,32.14
MD,1972,37.36,61.26
MD,1976,53.04,46.96
MD,1980,47.14,44.18
MD,1984,47.02,52.51
MD,1988,48.2,51.11
MD,1992,49.8,35.62
MD,1996,54.25,38.27
MD,2000,56.57,40.18
MD,2004,55.91,42.93
MD,2008,61.92,36.47
MD,2012,62.0,35.9
MD,2016,60.33,33.91
MD,2020,65.36,32.15
ME,1972,38.48,61.46
ME,1976,48.07,48.91
ME,1980,42.25,45.61
ME,1984,38.78,60.83
ME,1988,43.88,55.34
ME,1992,38.77,30.39
ME,1996,51.62,30.76
ME,2000,49.09,43.97
ME,2004,53.57,44.58
ME,2008,57.71,40.38
ME,2012,56.3,41.0
ME,2016,47.83,44.87
ME,2020,53.09,44.02
MI,1972,41.81,56.2
MI,1976,46.44,51.83
MI,1980,42.5,48.99
MI,1984,40.24,59.23
MI,1988,45.67,53.57
MI,1992,43.77,36.38
MI,1996,51.69,38.48
MI,2000,51.28,46.15
MI,2004,51.23,47.81
MI,2008,57.43,40.96
MI,2012,54.2,44.7
MI,2016,47.27,47.5
MI,2020,50.62,47.84
MN,1972,46.07,51.58
MN,1976,54.9,42.02
MN,1980,46.5,42.56
MN,1984,49.72,49.54
MN,1988,52.91,45.9
MN,1992,43.48,31.85
MN,1996,51.1,34.96
MN,2000,47.91,45.5
MN,2004,51.09,47.61
MN,2008,54.06,43.82
MN,2012,52.7,45.0
MN,2016,46.44,44.92
MN,2020,52.4,45.28
MO,1972,37.71,62.29
MO,1976,51.1,47.47
MO,1980,44.35,51.16
MO,1984,39.98,60.02
MO,1988,47.85,51.83
MO,1992,44.07,33.92
MO,1996,47.54,41.24
MO,2000,47.08,50.42
MO,2004,46.1,53.3
MO,2008,49.29,49.43
