State,Year,Democratic Vote,Republican Vote
AL,2016,34.36,62.08
AK,2016,36.55,51.28
AZ,2016,44.58,48.08
AR,2016,33.65,60.57
CA,2016,61.73,31.62
CO,2016,48.16,43.25
CT,2016,54.57,40.93
DE,2016,53.09,41.72
DC,2016,90.86,4.09
FL,2016,47.82,49.02
GA,2016,45.64,50.77
HI,2016,62.22,30.03
ID,2016,27.49,59.26
IL,2016,55.83,38.76
IN,2016,37.91,56.82
IA,2016,41.74,51.15
KS,2016,36.05,56.65
KY,2016,32.68,62.52
LA,2016,38.45,58.09
ME,2016,47.83,44.87
MD,2016,60.33,33.91
MA,2016,60.01,32.81
MI,2016,47.27,47.50
MN,2016,46.44,44.92
MS,2016,40.06,57.86
MO,2016,38.14,56.77
MT,2016,35.75,56.17
NE,2016,33.70,58.75
NV,2016,47.92,45.50
NH,2016,46.98,46.61
NJ,2016,55.45,41.35
NM,2016,48.26,40.04
NY,2016,59.01,36.52
NC,2016,46.17,49.83
ND,2016,27.23,62.96
OH,2016,43.56,51.69
OK,2016,28.93,65.32
OR,2016,50.07,39.09
PA,2016,47.46,48.18
RI,2016,54.41,38.90
SC,2016,40.67,54.94
SD,2016,31.74,61.53
TN,2016,34.72,60.72
TX,2016,43.24,52.23
UT,2016,27.46,45.54
VT,2016,56.68,30.27
VA,2016,49.73,44.41
WA,2016,52.54,36.83
WV,2016,26.43,68.50
WI,2016,46.45,47.22
WY,2016,21.88,68.17
