State,Year,Democratic Vote,Republican Vote
AL,1976,55.73,42.61
AK,1976,35.65,57.9
AZ,1976,39.8,56.37
AR,1976,64.94,34.93
CA,1976,47.57,49.35
CO,1976,42.58,54.05
CT,1976,46.9,52.06
DE,1976,51.98,46.57
DC,1976,81.63,16.51
FL,1976,51.93,46.64
GA,1976,66.74,32.96
HI,1976,50.59,48.06
ID,1976,37.12,59.88
IL,1976,48.13,50.1
IN,1976,45.7,53.32
IA,1976,48.46,49.47
KS,1976,44.94,52.49
KY,1976,52.75,45.57
LA,1976,51.73,45.95
ME,1976,48.07,48.91
MD,1976,53.04,46.96
MA,1976,56.11,40.44
MI,1976,46.44,51.83
MN,1976,54.9,42.02
MS,1976,49.56,47.68
MO,1976,51.1,47.47
MT,1976,45.4,52.84
NE,1976,38.46,59.19
NV,1976,45.81,50.17
NH,1976,43.47,54.75
NJ,1976,47.92,50.08
NM,1976,48.28,50.75
NY,1976,51.95,47.52
NC,1976,55.27,44.22
ND,1976,45.8,51.66
OH,1976,48.92,48.65
OK,1976,48.75,49.96
OR,1976,47.62,47.78
PA,1976,50.4,47.73
RI,1976,55.36,44.08
SC,1976,56.17,43.13
SD,1976,48.91,50.39
TN,1976,55.94,42.94
TX,1976,51.14,47.97
UT,1976,33.65,62.44
VT,1976,43.14,54.34
VA,1976,47.96,49.29
WA,1976,46.11,50.0
WV,1976,58.07,41.93
WI,1976,49.5,47.83
WY,1976,39.81,59.3
