State,Year,Democratic Vote,Republican Vote
AL,1992,40.88,47.65
AK,1992,30.29,39.46
AZ,1992,36.52,38.47
AR,1992,53.21,35.48
CA,1992,46.01,32.61
CO,1992,40.13,35.87
CT,1992,42.21,35.78
DE,1992,43.52,35.78
DC,1992,84.64,9.1
FL,1992,39.0,40.89
GA,1992,43.47,42.88
HI,1992,48.09,36.7
ID,1992,28.42,42.03
IL,1992,48.58,34.34
IN,1992,36.79,42.91
IA,1992,43.29,37.27
KS,1992,33.74,38.88
KY,1992,44.55,41.34
LA,1992,45.58,40.97
ME,1992,38.77,30.39
MD,1992,49.8,35.62
MA,1992,47.54,29.03
MI,1992,43.77,36.38
MN,1992,43.48,31.85
MS,1992,40.77,49.68
MO,1992,44.07,33.92
MT,1992,37.63,35.12
NE,1992,29.4,46.58
NV,1992,37.36,34.73
NH,1992,38.91,37.69
NJ,1992,42.95,40.58
NM,1992,45.9,37.34
NY,1992,49.73,33.88
NC,1992,42.65,43.44
ND,1992,32.18,44.22
OH,1992,40.18,38.35
OK,1992,34.02,42.65
OR,1992,42.48,32.53
PA,1992,45.15,36.13
RI,1992,47.04,29.02
SC,1992,39.88,48.02
SD,1992,37.14,40.66
TN,1992,47.08,42.43
TX,1992,37.08,40.56
UT,1992,24.65,43.36
VT,1992,46.11,30.42
VA,1992,40.59,44.97
WA,1992,43.41,31.97
WV,1992,48.41,35.39
WI,1992,41.13,36.78
WY,1992,34.1,39.7
