State,Year,Democratic Vote,Republican Vote
AL,1988,39.86,59.17
AK,1988,36.27,59.59
AZ,1988,38.74,59.95
AR,1988,42.19,56.37
CA,1988,47.56,51.13
CO,1988,45.28,53.06
CT,1988,46.87,51.98
DE,1988,43.48,55.88
DC,1988,82.65,14.3
FL,1988,38.51,60.87
GA,1988,39.5,59.75
HI,1988,54.27,44.75
ID,1988,36.01,62.08
IL,1988,48.6,50.69
IN,1988,39.69,59.84
IA,1988,54.71,44.5
KS,1988,42.56,55.79
KY,1988,43.88,55.52
LA,1988,44.06,54.27
ME,1988,43.88,55.34
MD,1988,48.2,51.11
MA,1988,53.23,45.38
MI,1988,45.67,53.57
MN,1988,52.91,45.9
MS,1988,39.07,59.89
MO,1988,47.85,51.83
MT,1988,46.2,52.07
NE,1988,39.2,60.15
NV,1988,37.92,58.86
NH,1988,36.33,62.49
NJ,1988,42.6,56.24
NM,1988,46.9,51.86
NY,1988,51.62,47.52
NC,1988,41.71,57.97
ND,1988,42.97,56.03
OH,1988,44.15,55.0
OK,1988,41.28,57.93
OR,1988,51.28,46.61
PA,1988,48.39,50.7
RI,1988,55.64,43.93
SC,1988,37.58,61.5
SD,1988,46.51,52.85
TN,1988,41.55,57.89
TX,1988,43.35,55.95
UT,1988,32.05,66.22
VT,1988,47.58,51.1
VA,1988,39.23,59.74
WA,1988,50.05,48.46
WV,1988,52.2,47.46
WI,1988,51.41,47.8
WY,1988,38.01,60.53
