State,Year,Democratic Vote,Republican Vote
AL,2020,36.57,62.03
AK,2020,42.77,52.83
AZ,2020,49.36,49.06
AR,2020,34.78,62.40
CA,2020,63.48,34.32
CO,2020,55.40,41.90
CT,2020,59.26,39.19
DE,2020,58.74,39.77
DC,2020,92.15,5.40
FL,2020,47.86,51.22
GA,2020,49.47,49.24
HI,2020,63.73,34.27
ID,2020,33.07,63.84
IL,2020,57.54,40.55
IN,2020,40.96,57.02
IA,2020,44.89,53.09
KS,2020,41.56,56.21
KY,2020,36.15,62.09
LA,2020,39.85,58.46
ME,2020,53.09,44.02
MD,2020,65.36,32.15
MA,2020,65.60,32.14
MI,2020,50.62,47.84
MN,2020,52.40,45.28
MS,2020,41.06,57.60
MO,2020,41.41,56.80
MT,2020,40.55,56.92
NE,2020,39.17,58.22
NV,2020,50.06,47.67
NH,2020,52.71,45.36
NJ,2020,57.33,41.40
NM,2020,54.29,43.50
NY,2020,60.86,37.75
NC,2020,48.59,49.93
ND,2020,31.76,65.11
OH,2020,45.24,53.27
OK,2020,32.29,65.37
OR,2020,56.45,40.37
PA,2020,50.01,48.84
RI,2020,59.39,38.61
SC,2020,43.43,55.11
SD,2020,35.61,61.77
TN,2020,37.45,60.66
TX,2020,46.48,52.06
UT,2020,37.65,58.13
VT,2020,66.09,30.67
VA,2020,54.11,44.00
WA,2020,57.97,38.77
WV,2020,29.69,68.62
WI,2020,49.45,48.82
WY,2020,26.55,69.94
