State,Year,Democratic Vote,Republican Vote
AL,1972,25.54,72.43
AK,1972,34.62,58.13
AZ,1972,30.38,61.64
AR,1972,30.71,68.82
CA,1972,41.54,55.0
CO,1972,34.59,62.61
CT,1972,40.13,58.57
DE,1972,39.18,59.6
DC,1972,78.1,21.56
FL,1972,27.8,71.91
GA,1972,24.65,75.04
HI,1972,37.52,62.48
ID,1972,26.04,64.24
IL,1972,40.51,59.03
IN,1972,33.34,66.11
IA,1972,40.48,57.61
KS,1972,29.5,67.66
KY,1972,34.77,63.37
LA,1972,28.35,65.32
ME,1972,38.48,61.46
MD,1972,37.36,61.26
MA,1972,54.2,45.23
MI,1972,41.81,56.2
MN,1972,46.07,51.58
MS,1972,19.63,78.2
MO,1972,37.71,62.29
MT,1972,37.85,57.93
NE,1972,29.5,70.5
NV,1972,36.32,63.68
NH,1972,34.86,63.98
NJ,1972,36.77,61.57
NM,1972,36.56,61.05
NY,1972,41.21,58.54
NC,1972,28.89,69.46
ND,1972,35.79,62.07
OH,1972,38.07,59.63
OK,1972,24.0,73.7
OR,1972,42.33,52.45
PA,1972,39.13,59.11
RI,1972,46.81,53.0
SC,1972,27.92,70.58
SD,1972,45.52,54.15
TN,1972,29.75,67.7
TX,1972,33.24,66.2
UT,1972,26.39,67.64
VT,1972,36.47,62.66
VA,1972,30.12,67.84
WA,1972,38.64,56.92
WV,1972,36.39,63.61
WI,1972,43.72,53.4
WY,1972,30.47,69.01
