State,Year,Democratic Vote,Republican Vote
AL,1984,38.28,60.54
AK,1984,29.87,66.65
AZ,1984,32.54,66.42
AR,1984,38.29,60.47
CA,1984,41.27,57.51
CO,1984,35.12,63.44
CT,1984,38.83,60.73
DE,1984,39.93,59.78
DC,1984,85.38,13.73
FL,1984,34.66,65.32
GA,1984,39.79,60.17
HI,1984,43.82,55.1
ID,1984,26.39,72.36
IL,1984,43.3,56.17
IN,1984,37.68,61.67
IA,1984,45.89,53.27
KS,1984,32.6,66.27
KY,1984,39.37,60.04
LA,1984,38.18,60.77
ME,1984,38.78,60.83
MD,1984,47.02,52.51
MA,1984,48.43,51.22
MI,1984,40.24,59.23
MN,1984,49.72,49.54
MS,1984,37.46,61.85
MO,1984,39.98,60.02
MT,1984,38.18,60.47
NE,1984,28.81,70.55
NV,1984,31.97,65.85
NH,1984,30.95,68.66
NJ,1984,39.2,60.09
NM,1984,39.23,59.7
NY,1984,45.83,53.84
NC,1984,37.89,61.9
ND,1984,33.8,64.84
OH,1984,40.14,58.9
OK,1984,30.67,68.61
OR,1984,43.74,55.91
PA,1984,45.99,53.34
RI,1984,48.02,51.66
SC,1984,35.57,63.55
SD,1984,36.53,63.0
TN,1984,41.57,57.84
TX,1984,36.11,63.61
UT,1984,24.68,74.5
VT,1984,40.81,57.92
VA,1984,37.09,62.29
WA,1984,42.86,55.82
WV,1984,44.6,55.11
WI,1984,45.02,54.19
WY,1984,28.24,70.51
