State,Year,Democratic Vote,Republican Vote
AL,2000,41.57,56.48
AK,2000,27.67,58.62
AZ,2000,44.73,51.02
AR,2000,45.86,51.31
CA,2000,53.45,41.65
CO,2000,42.39,50.75
CT,2000,55.91,38.44
DE,2000,54.96,41.90
DC,2000,85.16,8.95
FL,2000,48.84,48.85
GA,2000,42.98,54.67
HI,2000,55.79,37.46
ID,2000,27.64,67.17
IL,2000,54.60,42.58
IN,2000,41.01,56.65
IA,2000,48.54,48.22
KS,2000,37.24,58.04
KY,2000,41.37,56.50
LA,2000,44.88,52.55
ME,2000,49.09,43.97
MD,2000,56.57,40.18
MA,2000,59.80,32.50
MI,2000,51.28,46.15
MN,2000,47.91,45.50
MS,2000,40.70,57.62
MO,2000,47.08,50.42
MT,2000,33.36,58.44
NE,2000,33.25,62.25
NV,2000,45.98,49.52
NH,2000,46.80,48.07
NJ,2000,56.13,40.29
NM,2000,47.91,47.85
NY,2000,60.21,35.23
NC,2000,43.20,56.03
ND,2000,33.06,60.66
OH,2000,46.46,49.97
OK,2000,38.43,60.31
OR,2000,46.96,46.52
PA,2000,50.60,46.43
RI,2000,60.99,31.91
SC,2000,40.90,56.84
SD,2000,37.56,60.30
TN,2000,47.28,51.15
TX,2000,37.98,59.30
UT,2000,26.34,66.83
VT,2000,50.63,40.70
VA,2000,44.44,52.47
WA,2000,50.16,44.58
WV,2000,45.59,51.92
WI,2000,47.83,47.61
WY,2000,27.70,67.76
