State,Year,Democratic Vote,Republican Vote
AL,1996,43.16,50.12
AK,1996,33.27,50.80
AZ,1996,46.52,44.29
AR,1996,53.74,36.80
CA,1996,51.10,38.21
CO,1996,44.43,45.80
CT,1996,52.83,34.69
DE,1996,51.80,36.58
DC,1996,85.19,9.34
FL,1996,48.02,42.32
GA,1996,45.84,47.01
HI,1996,56.93,31.64
ID,1996,33.65,52.18
IL,1996,54.32,36.81
IN,1996,41.55,47.13
IA,1996,50.26,39.92
KS,1996,36.08,54.29
KY,1996,45.84,44.88
LA,1996,52.01,39.94
ME,1996,51.62,30.76
MD,1996,54.25,38.27
MA,1996,61.47,28.09
MI,1996,51.69,38.48
MN,1996,51.10,34.96
MS,1996,44.08,49.21
MO,1996,47.54,41.24
MT,1996,41.23,44.11
NE,1996,34.95,53.65
NV,1996,43.93,42.91
NH,1996,49.32,39.37
NJ,1996,53.72,35.86
NM,1996,49.18,41.86
NY,1996,59.47,30.61
NC,1996,44.04,48.73
ND,1996,40.13,46.94
OH,1996,47.38,41.02
OK,1996,40.45,48.26
OR,1996,47.15,39.06
PA,1996,49.17,39.97
RI,1996,59.71,26.82
SC,1996,43.85,49.89
SD,1996,43.03,46.49
TN,1996,48.00,45.59
TX,1996,43.83,48.76
UT,1996,33.30,54.37
VT,1996,53.35,31.09
VA,1996,45.15,47.10
WA,1996,49.84,37.30
WV,1996,51.51,36.76
WI,1996,48.81,38.48
WY,1996,36.84,49.81
