State,Year,Democratic Vote,Republican Vote
AL,2004,36.84,62.46
AK,2004,35.52,61.07
AZ,2004,44.40,54.87
AR,2004,44.55,54.31
CA,2004,54.31,44.36
CO,2004,47.02,51.69
CT,2004,54.31,43.95
DE,2004,53.35,45.75
DC,2004,89.18,9.34
FL,2004,47.09,52.10
GA,2004,41.37,57.97
HI,2004,54.01,45.26
ID,2004,30.26,68.38
IL,2004,54.82,44.48
IN,2004,39.26,59.94
IA,2004,49.23,49.90
KS,2004,36.62,62.00
KY,2004,39.69,59.55
LA,2004,42.22,56.72
ME,2004,53.57,44.58
MD,2004,55.91,42.93
MA,2004,61.94,36.78
MI,2004,51.23,47.81
MN,2004,51.09,47.61
MS,2004,39.76,59.45
MO,2004,46.10,53.30
MT,2004,38.56,59.07
NE,2004,32.68,65.90
NV,2004,47.88,50.47
NH,2004,50.24,48.87
NJ,2004,52.92,46.24
NM,2004,49.05,49.84
NY,2004,58.37,40.08
NC,2004,43.58,56.02
ND,2004,35.50,62.86
OH,2004,48.71,50.81
OK,2004,34.43,65.57
OR,2004,51.35,47.19
PA,2004,50.92,48.42
RI,2004,59.42,38.67
SC,2004,40.90,57.98
SD,2004,38.44,59.91
TN,2004,42.53,56.80
TX,2004,38.22,61.09
UT,2004,26.00,71.54
VT,2004,58.94,38.80
VA,2004,45.48,53.68
WA,2004,52.82,45.64
WV,2004,43.20,56.06
WI,2004,49.70,49.32
WY,2004,29.07,68.86
