State,Year,Democratic Vote,Republican Vote
AL,1980,47.45,48.75
AK,1980,26.41,54.35
AZ,1980,28.24,60.61
AR,1980,47.52,48.13
CA,1980,35.91,52.69
CO,1980,31.07,55.07
CT,1980,38.52,48.16
DE,1980,44.87,47.21
DC,1980,74.89,13.41
FL,1980,38.5,55.52
GA,1980,55.76,40.95
HI,1980,44.8,42.9
ID,1980,25.19,66.46
IL,1980,41.72,49.65
IN,1980,37.65,56.01
IA,1980,38.6,51.31
KS,1980,33.29,57.85
KY,1980,47.61,49.07
LA,1980,45.75,51.2
ME,1980,42.25,45.61
MD,1980,47.14,44.18
MA,1980,41.75,41.9
MI,1980,42.5,48.99
MN,1980,46.5,42.56
MS,1980,48.09,49.42
MO,1980,44.35,51.16
MT,1980,32.43,56.82
NE,1980,26.04,65.53
NV,1980,26.89,62.54
NH,1980,28.35,57.74
NJ,1980,38.56,51.97
NM,1980,36.78,54.97
NY,1980,43.99,46.66
NC,1980,47.18,49.3
ND,1980,26.26,64.23
OH,1980,40.91,51.51
OK,1980,34.97,60.5
OR,1980,38.67,48.33
PA,1980,42.48,49.59
RI,1980,47.67,37.2
SC,1980,48.04,49.57
SD,1980,31.69,60.53
TN,1980,48.41,48.7
TX,1980,41.42,55.28
UT,1980,20.57,72.77
VT,1980,38.41,44.37
VA,1980,40.31,53.03
WA,1980,37.32,49.66
WV,1980,49.81,45.3
WI,1980,43.18,47.9
WY,1980,27.97,62.64
